Rk ▴,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP,next-page-from-root,next-page-from-root-href,col,next-page-from-next-page,next-page-from-next-page-href
"null","Tobias Harris","2015-16","23","ORL","NBA","8","8","30.0","5.6","12.3","4.8","9.8","0.9","2.5","2.6","3.8","2.5","5.5","8.0","2.1","0.5","0.4","2.3","2.5","14.8",".459",".487",".350",".495",".700",".531","30.0","","","","",""
"null","Avery Bradley","2015-16","25","BOS","NBA","5","5","30.8","4.6","11.4","2.8","6.4","1.8","5.0","1.4","1.6","0.8","2.2","3.0","2.6","1.2","0.2","1.8","2.2","12.4",".404",".438",".360",".482",".875",".512","30.8","","","","",""
"null","Serge Ibaka","2015-16","26","OKC","NBA","7","7","34.4","5.6","11.6","5.4","10.7","0.1","0.9","0.9","1.3","3.0","5.4","8.4","1.3","0.4","2.6","1.4","3.0","12.1",".481",".507",".167",".488",".667",".500","34.4","","","","",""
"null","Amir Johnson","2015-16","28","BOS","NBA","5","2","21.2","3.2","6.0","2.8","4.6","0.4","1.4","1.8","2.4","1.8","4.0","5.8","0.8","0.4","0.6","1.6","3.0","8.6",".533",".609",".286",".567",".750",".609","21.2","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Eric Gordon","2015-16","27","NOP","NBA","6","6","36.2","6.2","15.0","3.2","7.2","3.0","7.8","2.5","3.0","0.5","2.7","3.2","3.2","0.8","0.2","2.0","2.8","17.8",".411",".442",".383",".511",".833",".546","36.2","","","","",""
"null","Jerami Grant","2015-16","21","PHI","NBA","7","4","25.4","3.3","8.1","3.0","6.1","0.3","2.0","2.6","3.4","0.7","3.7","4.4","1.3","0.6","1.7","1.0","2.3","9.4",".404",".488",".143",".421",".750",".488","25.4","","","","",""
"null","Danny Green","2015-16","28","SAS","NBA","7","7","27.9","2.3","7.7","1.3","3.1","1.0","4.6","0.9","1.1","0.9","3.4","4.3","2.3","1.0","0.9","1.6","1.3","6.4",".296",".409",".219",".361",".750",".391","27.9","","","","",""
"null","Kris Humphries","2015-16","30","WAS","NBA","6","6","20.5","2.3","6.0","1.2","3.0","1.2","3.0","1.3","1.3","1.0","4.0","5.0","0.5","0.2","0.2","0.8","2.0","7.2",".389",".389",".389",".486","1.000",".544","20.5","","","","",""
"null","Robert Covington","2015-16","25","PHI","NBA","1","1","22.0","1.0","9.0","1.0","4.0","0.0","5.0","2.0","2.0","0.0","2.0","2.0","0.0","2.0","1.0","2.0","3.0","4.0",".111",".250",".000",".111","1.000",".202","22.0","","","","",""
"null","Paul Millsap","2015-16","30","ATL","NBA","9","9","34.7","5.9","12.3","4.3","8.2","1.6","4.1","3.7","5.2","1.8","6.9","8.7","4.1","2.3","1.1","2.1","2.6","17.0",".477",".527",".378",".541",".702",".581","34.7","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
