Rk ▴,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP,next-page-from-root,next-page-from-root-href,col,next-page-from-next-page,next-page-from-next-page-href
"null","Al Jefferson","2015-16","31","CHO","NBA","6","6","26.5","7.7","13.7","7.7","13.7","0.0","0.0","0.5","1.0","2.0","5.5","7.5","1.2","0.7","1.0","0.5","2.2","15.8",".561",".561","",".561",".500",".561","26.5","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Player","Season","Age","Tm","Lg","G","GS","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","2P%","3P%","eFG%","FT%","TS%","MP","","","","",""
"null","Kemba Walker","2015-16","25","CHO","NBA","6","6","31.0","5.8","13.0","4.5","9.5","1.3","3.5","4.2","4.8","0.7","2.5","3.2","5.3","1.3","0.5","1.8","1.7","17.2",".449",".474",".381",".500",".862",".567","31.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Andre Roberson","2015-16","24","OKC","NBA","7","7","20.3","1.9","3.9","1.3","2.3","0.6","1.6","0.6","0.9","0.7","2.4","3.1","0.6","0.4","0.6","0.4","2.3","4.9",".481",".563",".364",".556",".667",".574","20.3","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Kent Bazemore","2015-16","26","ATL","NBA","9","9","28.7","4.2","8.8","2.4","5.2","1.8","3.6","1.6","1.8","0.2","4.7","4.9","2.7","2.1","0.6","1.8","2.4","11.8",".481",".468",".500",".582",".875",".616","28.7","","","","",""
"null","Dennis Schroder","2015-16","22","ATL","NBA","9","2","23.1","5.0","10.9","3.8","7.3","1.2","3.6","1.0","1.1","0.3","1.7","2.0","3.8","1.1","0.0","1.9","1.3","12.2",".459",".515",".344",".515",".900",".537","23.1","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Will Barton","2015-16","25","DEN","NBA","7","1","25.3","4.6","10.3","3.7","7.6","0.9","2.7","3.1","3.4","0.6","3.7","4.3","1.4","1.3","0.6","0.6","1.4","13.1",".444",".491",".316",".486",".917",".557","25.3","","","","",""
"null","Victor Oladipo","2015-16","23","ORL","NBA","8","8","38.5","6.4","16.8","5.0","11.5","1.4","5.3","2.0","2.3","0.5","7.0","7.5","4.3","1.8","0.9","1.9","2.0","16.1",".381",".435",".262",".422",".889",".454","38.5","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Pau Gasol","2015-16","35","CHI","NBA","8","8","30.3","6.0","13.1","6.0","12.5","0.0","0.6","1.9","2.5","1.9","7.1","9.0","1.9","0.9","2.4","1.1","1.9","13.9",".457",".480",".000",".457",".750",".488","30.3","","","","",""
"null","Richard Jefferson","2015-16","35","CLE","NBA","7","2","25.1","3.4","6.7","1.7","3.4","1.7","3.3","1.0","1.3","0.1","1.3","1.4","1.0","0.6","0.0","1.4","2.6","9.6",".511",".500",".522",".638",".778",".657","25.1","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Omri Casspi","2015-16","27","SAC","NBA","8","0","24.0","4.1","7.9","2.8","5.5","1.4","2.4","1.3","2.3","1.0","4.8","5.8","1.3","1.1","0.0","1.8","2.3","10.9",".524",".500",".579",".611",".556",".613","24.0","","","","",""
"null","Al-Farouq Aminu","2015-16","25","POR","NBA","8","7","33.4","4.6","10.6","3.3","6.6","1.4","4.0","2.3","3.3","1.3","6.9","8.1","1.9","0.6","0.8","2.3","2.8","12.9",".435",".491",".344",".500",".692",".534","33.4","","","","",""
"null","Jonas Valanciunas","2015-16","23","TOR","NBA","7","7","28.3","5.7","9.4","5.7","9.4","0.0","0.0","3.4","4.4","2.6","7.6","10.1","0.4","0.4","0.7","1.6","3.3","14.9",".606",".606","",".606",".774",".653","28.3","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Paul Pierce","2015-16","38","LAC","NBA","7","0","21.0","1.6","5.1","0.9","1.6","0.7","3.6","1.6","2.0","0.1","4.3","4.4","1.4","0.6","0.0","0.9","1.3","5.4",".306",".545",".200",".375",".786",".451","21.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","George Hill","2015-16","29","IND","NBA","8","8","37.4","5.1","11.4","2.5","5.8","2.6","5.6","3.0","4.1","0.5","3.5","4.0","3.5","1.8","0.4","2.1","2.6","15.9",".451",".435",".467",".566",".727",".602","37.4","","","","",""
"null","DeMar DeRozan","2015-16","26","TOR","NBA","7","7","36.0","6.3","15.0","6.0","13.4","0.3","1.6","8.6","10.4","0.9","3.4","4.3","3.7","1.1","0.4","2.7","2.1","21.4",".419",".447",".182",".429",".822",".547","36.0","","","","",""
"null","Player","Season","Age","Tm","Lg","G","GS","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","2P%","3P%","eFG%","FT%","TS%","MP","","","","",""
"null","J.R. Smith","2015-16","30","CLE","NBA","4","4","23.0","2.0","7.3","1.8","5.5","0.3","1.8","0.5","1.0","0.8","2.8","3.5","2.5","0.5","0.3","1.3","3.0","4.8",".276",".318",".143",".293",".500",".309","23.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Nik Stauskas","2015-16","22","PHI","NBA","6","5","32.0","4.3","12.2","2.0","4.0","2.3","8.2","2.0","2.3","0.2","4.0","4.2","2.7","0.8","0.2","1.8","1.3","13.0",".356",".500",".286",".452",".857",".493","32.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Monta Ellis","2015-16","30","IND","NBA","8","8","33.0","4.5","12.8","3.9","9.9","0.6","2.9","1.5","1.9","0.4","3.0","3.4","4.8","1.5","0.3","2.6","2.3","11.1",".353",".392",".217",".377",".800",".410","33.0","","","","",""
"null","Luke Babbitt","2015-16","26","NOP","NBA","4","3","26.8","2.8","6.8","1.8","2.3","1.0","4.5","0.5","0.5","0.0","5.0","5.0","1.0","0.3","0.3","0.5","3.3","7.0",".407",".778",".222",".481","1.000",".502","26.8","","","","",""
"null","Nikola Mirotic","2015-16","24","CHI","NBA","8","8","25.9","4.0","10.3","1.9","4.3","2.1","6.0","3.1","3.6","0.9","5.3","6.1","0.8","1.0","0.4","2.6","2.5","13.3",".390",".441",".354",".494",".862",".559","25.9","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Mo Williams","2015-16","33","CLE","NBA","7","7","31.1","5.7","12.7","4.0","7.7","1.7","5.0","1.6","1.7","0.1","2.7","2.9","5.4","0.7","0.1","1.6","2.0","14.7",".449",".519",".343",".517",".917",".546","31.1","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=200"
"null","Greivis Vasquez","2015-16","29","MIL","NBA","7","0","25.6","1.7","8.1","1.3","4.1","0.4","4.0","2.4","2.6","0.4","2.4","2.9","5.0","0.7","0.0","1.7","2.4","6.3",".211",".310",".107",".237",".944",".339","25.6","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Chris Bosh","2015-16","31","MIA","NBA","7","7","31.9","5.7","13.4","3.9","8.7","1.9","4.7","3.3","4.0","0.9","8.9","9.7","1.6","1.1","0.9","0.3","1.4","16.6",".426",".443",".394",".495",".821",".546","31.9","","","","",""
"null","Jeremy Lin","2015-16","27","CHO","NBA","6","0","22.2","3.3","8.8","2.0","5.2","1.3","3.7","3.7","4.3","0.7","2.0","2.7","3.2","0.7","0.7","2.2","2.0","11.7",".377",".387",".364",".453",".846",".543","22.2","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Kristaps Porzingis","2015-16","20","NYK","NBA","7","7","24.3","4.3","10.9","3.6","7.7","0.7","3.1","3.0","3.7","3.6","5.0","8.6","0.7","1.3","1.3","1.6","4.1","12.3",".395",".463",".227",".428",".808",".492","24.3","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Trevor Booker","2015-16","28","UTA","NBA","5","0","21.4","1.8","6.6","1.6","6.0","0.2","0.6","0.0","0.0","2.0","3.2","5.2","1.0","0.6","0.6","0.4","2.6","3.8",".273",".267",".333",".288","",".288","21.4","","","","",""
"null","Player","Season","Age","Tm","Lg","G","GS","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","2P%","3P%","eFG%","FT%","TS%","MP","","","","",""
"null","Jerian Grant","2015-16","23","NYK","NBA","7","0","22.3","2.4","6.0","2.3","4.7","0.1","1.3","2.1","2.7","0.3","2.4","2.7","4.0","1.0","0.0","1.4","2.6","7.1",".405",".485",".111",".417",".789",".496","22.3","","","","",""
"null","Eric Bledsoe","2015-16","26","PHO","NBA","7","7","34.4","7.9","17.4","6.6","13.7","1.3","3.7","4.9","6.3","0.3","3.0","3.3","6.1","2.1","0.7","2.9","2.6","21.9",".451",".479",".346",".488",".773",".541","34.4","","","","",""
"null","Player","Season","Age","Tm","Lg","G","GS","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","2P%","3P%","eFG%","FT%","TS%","MP","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Otto Porter","2015-16","22","WAS","NBA","6","6","34.0","5.3","9.7","4.3","6.2","1.0","3.5","1.7","1.8","1.0","3.5","4.5","2.5","1.2","0.3","1.3","2.3","13.3",".552",".703",".286",".603",".909",".637","34.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Dewayne Dedmon","2015-16","26","ORL","NBA","7","3","21.4","2.1","4.6","2.1","4.6","0.0","0.0","1.9","2.3","1.7","4.7","6.4","0.3","0.9","1.9","0.7","3.6","6.1",".469",".469","",".469",".813",".551","21.4","","","","",""
"null","James Harden","2015-16","26","HOU","NBA","7","7","39.4","8.1","21.6","5.6","10.9","2.6","10.7","10.9","12.7","1.0","4.9","5.9","5.7","1.7","0.9","5.0","2.3","29.7",".377",".513",".240",".437",".854",".547","39.4","","","","",""
"null","Jae Crowder","2015-16","25","BOS","NBA","5","5","29.8","3.0","7.8","2.2","4.6","0.8","3.2","3.6","4.6","1.4","4.6","6.0","2.2","3.0","0.6","2.4","2.2","10.4",".385",".478",".250",".436",".783",".529","29.8","","","","",""
"null","Devin Harris","2015-16","32","DAL","NBA","6","0","22.7","2.5","7.3","2.0","4.2","0.5","3.2","1.8","3.2","0.5","2.7","3.2","2.3","1.2","0.3","1.3","2.2","7.3",".341",".480",".158",".375",".579",".420","22.7","","","","",""
"null","Tyson Chandler","2015-16","33","PHO","NBA","7","7","28.0","2.3","4.7","2.3","4.6","0.0","0.1","2.4","3.6","3.1","7.7","10.9","0.6","0.9","0.6","1.3","2.7","7.0",".485",".500",".000",".485",".680",".557","28.0","","","","",""
