PLAYER,OPP,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,AVG,rb-link,rb-link-href,wr-link,wr-link-href,te-link,te-link-href,dst-link,dst-link-href
"Browns vs. WR","@Pit","0/0","1585","9","0","14","1585","9","111","1585","9","193","23.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Texans vs. D/ST","@Cin","0/0","0","0","0","0","0","0","0","0","0","0","6.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Redskins vs. D/ST","NO","0/0","0","0","0","0","0","0","0","0","0","0","7.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Raiders vs. RB","Min","0/0","423","2","0","177","423","2","54","423","2","65","17.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Bears vs. QB","@StL","161/254","0","0","4","28","0","0","0","0","0","0","17.6","","","","","","","",""
"Broncos vs. TE","KC","0/0","385","3","0","0","385","3","32","385","3","52","6.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Titans vs. D/ST","Car","0/0","0","0","0","0","0","0","0","0","0","0","11.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Lions vs. D/ST","@GB","0/0","0","0","0","0","0","0","0","0","0","0","8.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Bears vs. D/ST","@StL","0/0","0","0","0","0","0","0","0","0","0","0","8.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Jets vs. QB","Buf","178/314","0","0","10","27","0","0","0","0","0","0","15.1","","","","","","","",""
"Giants vs. RB","NE","0/0","444","3","0","217","444","3","55","444","3","77","18.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Patriots vs. D/ST","@NYG","0/0","0","0","0","0","0","0","0","0","0","0","-0.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Packers vs. D/ST","Det","0/0","0","0","0","0","0","0","0","0","0","0","3.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Lions vs. TE","@GB","0/0","358","6","0","0","358","6","39","358","6","56","8.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Rams vs. WR","Chi","0/0","1065","3","0","1","1065","3","104","1065","3","155","13.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Raiders vs. TE","Min","0/0","491","9","0","0","491","9","44","491","9","72","12.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Buccaneers vs. TE","Dal","0/0","369","4","0","0","369","4","41","369","4","63","7.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Vikings vs. RB","@Oak","0/0","280","0","0","174","280","0","32","280","0","43","13.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Ravens vs. QB","Jax","193/288","0","0","3","26","0","0","0","0","0","0","21.5","","","","","","","",""
"Steelers vs. QB","Cle","229/346","0","0","8","29","0","0","0","0","0","0","16.8","","","","","","","",""
"Chargers vs. QB","** BYE **","2348","0","0","","49","0","0","0","0","0","","","","","","","","","",""
"Chargers vs. WR","** BYE **","0","6","155","","16","6","155","1348","6","155","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Eagles vs. TE","Mia","0/0","359","1","0","0","359","1","42","359","1","59","3.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Eagles vs. D/ST","Mia","0/0","0","0","0","0","0","0","0","0","0","0","5.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Titans vs. RB","Car","0/0","188","0","0","185","188","0","27","188","0","39","12.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Vikings vs. TE","@Oak","0/0","474","3","0","1","474","3","39","474","3","58","7.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Broncos vs. WR","KC","0/0","965","1","0","3","965","1","86","965","1","144","11.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Saints vs. TE","@Wsh","0/0","725","7","0","0","725","7","54","725","7","72","11.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Redskins vs. RB","NO","0/0","325","1","0","199","325","1","39","325","1","56","17.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Chargers vs. D/ST","** BYE **","0","0","0","","0","0","0","0","0","0","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Raiders vs. QB","Min","232/361","0","0","9","10","0","0","0","0","0","0","18.9","","","","","","","",""
"Dolphins vs. D/ST","@Phi","0/0","0","0","0","0","0","0","0","0","0","0","6.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Titans vs. TE","Car","0/0","424","6","0","0","424","6","35","424","6","53","9.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Cardinals vs. RB","@Sea","0/0","420","2","0","156","420","2","49","420","2","62","13.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
