PLAYER,OPP,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,AVG,rb-link,rb-link-href,wr-link,wr-link-href,te-link,te-link-href,dst-link,dst-link-href
"Browns vs. D/ST","@Pit","0/0","0","0","0","0","0","0","0","0","0","0","9.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Cowboys vs. QB","@TB","177/267","0","0","3","20","0","0","0","0","0","0","14.5","","","","","","","",""
"Broncos vs. RB","KC","0/0","303","3","0","188","303","3","53","303","3","79","15.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Steelers vs. D/ST","Cle","0/0","0","0","0","0","0","0","0","0","0","0","3.7","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Broncos vs. QB","KC","173/279","-6","0","9","19","-6","0","1","-6","0","1","9.3","","","","","","","",""
"Bengals vs. WR","Hou","0/0","1110","7","0","1","1110","7","92","1110","7","156","17.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Giants vs. QB","NE","246/368","0","0","13","21","0","0","0","0","0","0","18.2","","","","","","","",""
"Chiefs vs. QB","@Den","175/294","0","0","8","15","0","0","0","0","0","0","16.1","","","","","","","",""
"Cowboys vs. TE","@TB","0/0","371","2","0","0","371","2","38","371","2","52","5.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Rams vs. D/ST","Chi","0/0","0","0","0","0","0","0","0","0","0","0","8.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Raiders vs. D/ST","Min","0/0","0","0","0","0","0","0","0","0","0","0","3.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Giants vs. D/ST","NE","0/0","0","0","0","0","0","0","0","0","0","0","3.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Colts vs. RB","** BYE **","0","1","56","","852","1","56","331","1","56","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Bears vs. WR","@StL","0/0","1242","12","0","1","1242","12","93","1242","12","143","22.9","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Rams vs. TE","Chi","0/0","415","1","0","0","415","1","42","415","1","57","5.4","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Colts vs. QB","** BYE **","2587","0","0","","129","0","0","0","0","0","","","","","","","","","",""
"Jaguars vs. D/ST","@Bal","0/0","0","0","0","0","0","0","0","0","0","0","10.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Jaguars vs. TE","@Bal","0/0","456","2","0","0","456","2","31","456","2","52","6.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Saints vs. RB","@Wsh","0/0","455","3","0","198","455","3","52","455","3","68","18.2","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Patriots vs. WR","@NYG","0/0","1493","8","0","1","1493","8","113","1493","8","190","23.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"49ers vs. WR","** BYE **","0","9","183","","36","9","183","1737","9","183","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Browns vs. RB","@Pit","0/0","435","1","0","246","435","1","38","435","1","53","20.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Bengals vs. QB","Hou","200/307","0","0","8","20","0","0","0","0","0","0","14.3","","","","","","","",""
"49ers vs. RB","** BYE **","0","2","68","","898","2","68","454","2","68","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Eagles vs. QB","Mia","203/315","0","0","12","22","0","0","0","0","0","0","15.0","","","","","","","",""
"Ravens vs. TE","Jax","0/0","332","1","0","0","332","1","30","332","1","46","4.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Panthers vs. QB","@Ten","198/350","0","0","13","30","0","0","0","0","0","0","14.8","","","","","","","",""
"Packers vs. QB","Det","164/285","0","0","10","41","0","0","0","0","0","0","16.8","","","","","","","",""
"Saints vs. WR","@Wsh","0/0","1577","14","0","9","1577","14","106","1577","14","182","24.9","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Texans vs. RB","@Cin","0/0","348","3","0","189","348","3","35","348","3","44","19.1","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Seahawks vs. RB","Ari","0/1","271","0","0","170","271","0","36","271","0","54","10.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Seahawks vs. QB","Ari","152/241","0","0","3","31","0","0","0","0","0","0","13.3","","","","","","","",""
"Redskins vs. WR","NO","0/0","1314","11","0","6","1314","11","92","1314","11","148","24.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Patriots vs. RB","@NYG","0/0","333","1","0","151","333","1","45","333","1","57","12.0","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
