RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WAR,next-page,next-page-href,next-next-page,next-next-page-href
"433","Shane Larkin, PG","NY","76","24.5","-2.54","-1.79","-4.33","-2.19","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"210","Bismack Biyombo, PF","CHA","64","19.4","-2.57","1.58","-0.99","1.02","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/6/sort/RPM"
"201","Steve Blake, PG","POR","81","18.9","-0.12","-0.74","-0.86","1.41","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/6/sort/RPM"
"440","Tayshaun Prince, SF","BOS/DET/MEM","58","24.1","-2.31","-2.10","-4.41","-1.74","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"175","Shaun Livingston, PG","GS","78","18.8","-1.27","0.83","-0.44","1.77","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/5/sort/RPM"
"318","Francisco Garcia, SG","HOU","14","14.3","-2.11","-0.29","-2.40","-0.01","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/8/sort/RPM"
"83","Jeff Teague, PG","ATL","73","30.5","0.92","0.95","1.87","5.88","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/3/sort/RPM"
"277","Justin Holiday, SG","GS","59","11.1","-1.48","-0.23","-1.71","0.27","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/7/sort/RPM"
"340","Enes Kanter, C","OKC/UTAH","75","28.5","1.15","-3.87","-2.72","-0.49","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"199","Jarnell Stokes, PF","MEM","19","6.6","-1.56","0.76","-0.80","0.12","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/5/sort/RPM"
"315","Jordan Clarkson, PG","LAL","59","25.0","0.64","-3.00","-2.36","-0.01","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/8/sort/RPM"
"269","Glen Davis, PF","LAC","74","12.2","-3.76","2.12","-1.64","0.40","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/7/sort/RPM"
"47","Tyreke Evans, SG","NO","79","34.1","3.80","-0.65","3.15","9.02","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"241","Luc Richard Mbah a Moute, PF","PHI","67","28.6","-3.12","1.78","-1.34","1.21","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/7/sort/RPM"
"26","Kyle Lowry, PG","TOR","70","34.5","2.58","1.25","3.83","9.28","","","",""
"157","Meyers Leonard, PF","POR","55","15.4","-1.88","1.71","-0.17","1.16","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/4/sort/RPM"
"414","Phil Pressey, PG","BOS","50","12.0","-3.10","-0.78","-3.88","-0.58","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"75","James Johnson, PF","TOR","70","19.6","0.33","1.66","1.99","3.66","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"392","Dion Waiters, SG","CLE/OKC","80","27.6","-2.35","-1.17","-3.52","-1.65","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
"46","Andrew Bogut, C","GS","67","23.6","-1.81","4.97","3.16","5.58","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"56","Thabo Sefolosha, SG","ATL","52","18.8","-0.37","2.97","2.60","2.94","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"224","Lester Hudson, SG","LAC","5","11.2","-0.22","-0.93","-1.15","0.04","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/6/sort/RPM"
